debug 2024/02/10 18:32:30 question: what is your name?, answer: hello world 
debug 2024/02/10 18:32:33 question: what is your favorite editor?, answer: hello world '
debug 2024/02/10 18:32:35 question: what is your quote?, answer: he loo wlrc
debug 2024/02/10 21:18:59 question: what is your name?, answer: indinfidnfisnnf
debug 2024/02/10 21:19:00 question: what is your favorite editor?, answer: fnsodfnsdbfjs
debug 2024/02/10 21:19:14 question: what is your quote?, answer: This is where my big quote goes so you can see me type here 
debug 2024/02/10 21:19:15 question: what is your name?, answer: indinfidnfisnnf
debug 2024/02/10 21:19:15 question: what is your favorite editor?, answer: fnsodfnsdbfjs
debug 2024/02/10 21:19:15 question: what is your quote?, answer: This is where my big quote goes so you can see me type here 
debug 2024/02/10 21:19:15 question: what is your name?, answer: indinfidnfisnnf
debug 2024/02/10 21:19:15 question: what is your favorite editor?, answer: fnsodfnsdbfjs
debug 2024/02/10 21:19:16 question: what is your quote?, answer: This is where my big quote goes so you can see me type here 
debug 2024/02/10 21:19:16 question: what is your name?, answer: indinfidnfisnnf
debug 2024/02/10 21:19:16 question: what is your favorite editor?, answer: fnsodfnsdbfjs
debug 2024/02/10 21:19:16 question: what is your quote?, answer: This is where my big quote goes so you can see me type here 
debug 2024/02/10 21:19:16 question: what is your name?, answer: indinfidnfisnnf
debug 2024/02/10 21:19:17 question: what is your favorite editor?, answer: fnsodfnsdbfjs
debug 2024/02/10 21:19:17 question: what is your quote?, answer: This is where my big quote goes so you can see me type here 
debug 2024/02/10 21:19:17 question: what is your name?, answer: indinfidnfisnnf
debug 2024/02/10 21:19:17 question: what is your favorite editor?, answer: fnsodfnsdbfjs
debug 2024/02/10 21:19:17 question: what is your quote?, answer: This is where my big quote goes so you can see me type here 
debug 2024/02/10 21:19:17 question: what is your name?, answer: indinfidnfisnnf
debug 2024/02/10 21:20:13 question: what is your name?, answer: cnskdncksdnc
debug 2024/02/10 21:20:14 question: what is your favorite editor?, answer: cknsdkncsld
debug 2024/02/10 21:20:17 question: what is your quote?, answer: cnsdklcnsdlkncljsncljsnlcjnsdjlnslcnlsdncjsdnclsd
debug 2024/02/10 21:21:01 question: what is your name?, answer: modwsjcfpodsjocs
debug 2024/02/10 21:21:03 question: what is your favorite editor?, answer: cospdncsopdncdns
debug 2024/02/10 21:21:08 question: what is your quote?, answer: cnsdocnsdoncisdncisndicnsdincosicnoisdnciosndiocnsodinciosdnciosndicnsioncoisdncinsdicnsd
